"method","path","callsite_count","source_files","representative_line","laravel_status","laravel_methods","laravel_handlers","aspnet_status","aspnet_methods","aspnet_controllers"
"DELETE","/api/v2/marketplace/saved-searches/{id}","1","pages/marketplace/MarketplaceCollectionsPage.tsx","207","exists","DELETE","[\App\Http\Controllers\Api\MarketplaceDiscoveryController::class, 'destroySavedSearch']","exists","DELETE","Marketplace"
"GET","/api/v2/marketplace/seller/coupons","2","pages/marketplace/seller/SellerCouponEditPage.tsx;pages/marketplace/seller/SellerCouponsPage.tsx","91","exists","GET","[\App\Http\Controllers\Api\MerchantCouponSellerController::class, 'index']","exists","GET","Marketplace"
"POST","/api/v2/marketplace/seller/coupons","1","pages/marketplace/seller/SellerCouponEditPage.tsx","194","exists","POST","[\App\Http\Controllers\Api\MerchantCouponSellerController::class, 'store']","exists","POST","Marketplace"
"DELETE","/api/v2/marketplace/seller/coupons/{id}","1","pages/marketplace/seller/SellerCouponsPage.tsx","79","exists","DELETE","[\App\Http\Controllers\Api\MerchantCouponSellerController::class, 'destroy']","exists","DELETE","Marketplace"
"PUT","/api/v2/marketplace/seller/coupons/{id}","1","pages/marketplace/seller/SellerCouponEditPage.tsx","193","exists","PUT","[\App\Http\Controllers\Api\MerchantCouponSellerController::class, 'update']","exists","PUT","Marketplace"
"GET","/api/v2/marketplace/seller/dashboard","1","pages/marketplace/MyListingsPage.tsx","148","exists","GET","[\App\Http\Controllers\Api\MarketplaceSellerController::class, 'dashboard']","exists","GET","Marketplace"
"POST","/api/v2/marketplace/seller/onboard","1","pages/marketplace/StripeOnboardingPage.tsx","114","exists","POST","[\App\Http\Controllers\Api\MarketplacePaymentController::class, 'onboard']","exists","POST","Marketplace"
"GET","/api/v2/marketplace/seller/onboard/status","1","pages/marketplace/StripeOnboardingPage.tsx","85","exists","GET","[\App\Http\Controllers\Api\MarketplaceSellerController::class, 'onboardStatus']","exists","GET","Marketplace"
"POST","/api/v2/marketplace/seller/pickup-scan","1","pages/marketplace/seller/SellerPickupScanPage.tsx","45","exists","POST","[\App\Http\Controllers\Api\MarketplacePickupSlotController::class, 'scanQr']","exists","POST","Marketplace"
"GET","/api/v2/marketplace/seller/pickup-slots","1","pages/marketplace/seller/SellerPickupSlotsPage.tsx","73","exists","GET","[\App\Http\Controllers\Api\MarketplacePickupSlotController::class, 'slotsIndex']","exists","GET","Marketplace"
"POST","/api/v2/marketplace/seller/pickup-slots","1","pages/marketplace/seller/SellerPickupSlotsPage.tsx","95","exists","POST","[\App\Http\Controllers\Api\MarketplacePickupSlotController::class, 'slotsStore']","exists","POST","Marketplace"
"DELETE","/api/v2/marketplace/seller/pickup-slots/{id}","1","pages/marketplace/seller/SellerPickupSlotsPage.tsx","129","exists","DELETE","[\App\Http\Controllers\Api\MarketplacePickupSlotController::class, 'slotsDestroy']","exists","DELETE","Marketplace"
"GET","/api/v2/marketplace/seller/shipping-options","1","components/marketplace/ShippingOptionsManager.tsx","234","exists","GET","[\App\Http\Controllers\Api\MarketplaceSellerController::class, 'shippingOptions']","exists","GET","Marketplace"
"POST","/api/v2/marketplace/seller/shipping-options","1","components/marketplace/ShippingOptionsManager.tsx","259","exists","POST","[\App\Http\Controllers\Api\MarketplaceSellerController::class, 'createShippingOption']","exists","POST","Marketplace"
"DELETE","/api/v2/marketplace/seller/shipping-options/{id}","1","components/marketplace/ShippingOptionsManager.tsx","354","exists","DELETE","[\App\Http\Controllers\Api\MarketplaceSellerController::class, 'deleteShippingOption']","exists","DELETE","Marketplace"
"PUT","/api/v2/marketplace/seller/shipping-options/{id}","1","components/marketplace/ShippingOptionsManager.tsx","310","exists","PUT","[\App\Http\Controllers\Api\MarketplaceSellerController::class, 'updateShippingOption']","exists","PUT","Marketplace"
"GET","/api/v2/marketplace/sellers/{id}","1","pages/marketplace/SellerProfilePage.tsx","124","exists","GET","[\App\Http\Controllers\Api\MarketplaceSellerController::class, 'show']","exists","GET","Marketplace"
"GET","/api/v2/marketplace/sellers/{id}/listings","2","pages/marketplace/MarketplaceListingPage.tsx;pages/marketplace/SellerProfilePage.tsx","409","exists","GET","[\App\Http\Controllers\Api\MarketplaceSellerController::class, 'listings']","exists","GET","Marketplace"
"GET","/api/v2/marketplace/sellers/{id}/shipping-options","1","components/marketplace/ShippingSelector.tsx","77","exists","GET","[\App\Http\Controllers\Api\MarketplaceSellerController::class, 'shippingOptionsForSeller']","exists","GET","LaravelReactFrontendContract"
"POST","/api/v2/matches/{id}/{id}/dismiss","1","pages/matches/components/MatchCard.tsx","86","exists","POST","[\App\Http\Controllers\Api\MatchingController::class, 'dismissTyped']","exists-compatibility","POST","LaravelReactUtilityCompatibility"
"GET","/api/v2/matches/all","4","admin/modules/advanced/MatchDebugPanel.tsx;pages/dashboard/DashboardPage.tsx;pages/groups/api/recommendations.ts;pages/matches/MatchesPage.tsx","168","exists","GET","[\App\Http\Controllers\Api\MatchingController::class, 'allMatches']","exists-compatibility","GET","Compatibility"
"GET","/api/v2/me/ad-campaigns","1","pages/advertise/MyAdCampaignsPage.tsx","124","exists","GET","[\App\Http\Controllers\Api\LocalAdvertisingController::class, 'myAdCampaigns']","exists","GET","MemberParity"
"POST","/api/v2/me/ad-campaigns","2","admin/modules/advertising/AdCampaignAdminPage.tsx;pages/advertise/MyAdCampaignsPage.tsx","339","exists","POST","[\App\Http\Controllers\Api\LocalAdvertisingController::class, 'createCampaign']","exists","POST","MemberParity"
"GET","/api/v2/me/ad-campaigns/{id}/stats","1","pages/advertise/MyAdCampaignsPage.tsx","138","exists","GET","[\App\Http\Controllers\Api\LocalAdvertisingController::class, 'getMyCampaignStats']","exists","GET","MemberParity"
"GET","/api/v2/me/collections","2","components/social/SaveButton.tsx;pages/profile/MyCollectionsPage.tsx","68","exists","GET","[\App\Http\Controllers\Api\SavedCollectionsController::class, 'listCollections']","exists","GET","MemberParity"
"POST","/api/v2/me/collections","2","components/social/SaveButton.tsx;pages/profile/MyCollectionsPage.tsx","145","exists","POST","[\App\Http\Controllers\Api\SavedCollectionsController::class, 'createCollection']","exists","POST","MemberParity"
"GET","/api/v2/me/collections/{id}/items","1","pages/profile/CollectionDetailPage.tsx","80","exists","GET","[\App\Http\Controllers\Api\SavedCollectionsController::class, 'listItems']","exists","GET","MemberParity"
"GET","/api/v2/me/courses","1","lib/api/courses.ts","242","exists","GET","[\App\Http\Controllers\Api\CourseEnrollmentController::class, 'myCourses']","exists-compatibility","GET","CoursesCompatibility"
"UNRESOLVED","/api/v2/me/data-export","1","pages/settings/DataExportPage.tsx","104","exists-unambiguous-method","POST","[\App\Http\Controllers\Api\MemberDataExportController::class, 'create']","exists-unambiguous-method","POST","MemberParity"
"GET","/api/v2/me/data-export/history","1","pages/settings/DataExportPage.tsx","74","exists","GET","[\App\Http\Controllers\Api\MemberDataExportController::class, 'history']","exists","GET","MemberParity"
"POST","/api/v2/me/fadp/consent","1","components/legal/FadpConsentBanner.tsx","54","exists","POST","[\App\Http\Controllers\Api\FadpComplianceController::class, 'recordConsent']","exists","POST","MemberParity"
"GET","/api/v2/me/push-campaigns","1","pages/advertise/MyPushCampaignsPage.tsx","131","exists","GET","[\App\Http\Controllers\Api\PaidPushCampaignController::class, 'myCampaigns']","exists","GET","MemberParity"
"POST","/api/v2/me/push-campaigns","2","admin/modules/advertising/PushCampaignAdminPage.tsx;pages/advertise/MyPushCampaignsPage.tsx","420","exists","POST","[\App\Http\Controllers\Api\PaidPushCampaignController::class, 'createCampaign']","exists","POST","MemberParity"
"POST","/api/v2/me/push-campaigns/estimate-audience","1","pages/advertise/MyPushCampaignsPage.tsx","158","exists","POST","[\App\Http\Controllers\Api\PaidPushCampaignController::class, 'estimateAudience']","exists","POST","MemberParity"
"DELETE","/api/v2/me/saved-items","1","components/social/SaveButton.tsx","119","exists","DELETE","[\App\Http\Controllers\Api\SavedCollectionsController::class, 'unsaveByPair']","exists","DELETE","MemberParity"
"POST","/api/v2/me/saved-items","1","components/social/SaveButton.tsx","87","exists","POST","[\App\Http\Controllers\Api\SavedCollectionsController::class, 'saveItem']","exists","POST","MemberParity"
"DELETE","/api/v2/me/saved-items/{id}","1","pages/profile/CollectionDetailPage.tsx","105","exists","DELETE","[\App\Http\Controllers\Api\SavedCollectionsController::class, 'unsaveItem']","exists","DELETE","MemberParity"
"GET","/api/v2/me/stats","1","components/feed/sidebar/ProfileCardWidget.tsx","46","exists","GET","[\App\Http\Controllers\Api\UsersController::class, 'stats']","exists-compatibility","GET","ReactFrontendCompatibility"
